label,message
spam,Win ₹50000 now click link
spam,Your KYC is blocked update now
spam,Call now to claim prize
spam,Free recharge click link
spam,Your bank account is suspended verify
spam,Win ₹50000 now click link
spam,You have won lottery claim now
spam,Free recharge click link
spam,Your KYC is blocked update now
spam,Your bank account will be blocked verify now
spam,Click here to claim your prize
spam,URGENT: Your account is suspended update now
spam,OTP share karo warna account block ho jayega
spam,Dear user your ATM card is blocked update details
spam,You are selected for lucky draw call now
spam,Get free gift voucher click link
spam,Pay now or your account will be locked
spam,Dear customer update PAN card details immediately
spam,Your SIM will be blocked submit KYC
spam,You have won iPhone click here
spam,Exclusive offer claim your reward now
spam,Click link to verify your bank account
spam,Refund pending click here to claim
spam,Amazon gift card free claim now
spam,Google pay reward ₹5000 claim now
spam,Call this number to get prize money
spam,Your electricity bill pending pay now
spam,Recharge now and get cashback offer
spam,Update Aadhaar details to avoid blocking
spam,Your loan approved instantly click now
spam,Get instant personal loan apply now
spam,You are winner of contest claim prize
spam,Your Paytm account is blocked verify now
spam,Income tax refund pending click link
spam,IRCTC account suspended update details
spam,Click here to reset your password immediately
spam,Security alert login attempt verify now
spam,You have pending delivery click here
spam,Free job offer apply now click link
spam,Your courier is on hold pay charges now
spam,Urgent action required verify your account
spam,You got cashback offer click now
spam,WhatsApp lottery winner claim prize
spam,Flipkart lucky winner claim now
spam,You are eligible for free insurance claim now
spam,Get free data recharge click link
spam,Your UPI account is blocked update now
spam,Please share OTP to complete transaction
spam,Dear user verify your identity immediately
spam,Your wallet will be suspended act now
spam,Payment failed retry now click link
spam,Account compromised reset password now
spam,Claim your bonus reward now
spam,You are selected for free trip claim now